SAMN19866762,
SAMN23378274,
SAMN23378277,
SAMN32628980,
SAMEA3106395,
SAMN03988471,SRR2407791
SAMN05255999,
SAMN04285042,SRR2939562
SAMN04364590,SRR3129297
SAMN13850655,
SAMN11355817,
SAMN11355818,
SAMN30540908,
SAMN11355816,
SAMN33760338,SRR23864779
SAMN33760342,SRR23864784
SAMN25608808,SRR17880799
SAMN26567210,SRR18297517
SAMN26540071,
SAMN33760351,SRR23864770
SAMN33760349,SRR23864768
SAMN33760354,SRR23864773
SAMN33760335,SRR23864758
SAMN10434137,SRR8196858
SAMN03463818,
SAMN13002973,SRR11101397
SAMN14504656,SRR11457688
SAMN14504546,SRR11457468
SAMN23543477,
SAMN33677878,
SAMN33677876,
SAMN33677882,
SAMN33677883,
SAMN33677875,
SAMN33677887,
SAMN33677880,
SAMN33677877,
SAMN33677886,
SAMN33677884,
SAMN33677879,
SAMN13002952,SRR11101395
SAMN13002763,SRR11101341
SAMN04961988,SRR4012688
SAMN08903186,
SAMN11979405,
SAMN26236019,
SAMN06192066,
SAMN29431226,
SAMN26178599,
SAMN26139402,
SAMN10261268,SRR8100800 SRR9099596
SAMN03959818,
SAMN03959817,
SAMN36745160,
SAMN17221882,
SAMN07522555,
SAMN04156727,SRR2896022
SAMN04334629,SRR3028738 SRR3684173
SAMN05263516,SRR3703041
SAMN05263553,SRR3707412
SAMN05263538,SRR3703080
SAMN05263504,SRR3707415
SAMN05263515,SRR3685561
SAMN04334642,SRR3028751 SRR3711252
SAMN04334633,SRR3028742 SRR3684194
SAMN05263514,SRR3682071
SAMN06173332,SRR5409216
SAMN06560104,
SAMN12603255,SRR10013875
SAMN12648954,
SAMN14504769,SRR11457440
SAMN14504710,SRR11457537
SAMN12082795,SRR9313462
SAMN14504925,SRR11457713
SAMN14504560,SRR11457568
SAMN04156749,SRR2598330
SAMN04156715,SRR2898679
SAMN32950796,
SAMN03255434,SRR1950246 SRR1950247
SAMN08737531,
SAMN09741727,
SAMN35717869,
SAMN05277890,SRR3709728
SAMN04334640,SRR3028749 SRR3711286
SAMN05263517,SRR3703074
SAMN05277889,SRR3709723
SAMN05263513,SRR3707447
SAMN09237638,SRR7208782
SAMN08470240,
SAMN14504803,SRR11457626
SAMN32950808,
SAMN32950807,
SAMN32950806,
SAMN32950809,
SAMN32950811,
SAMN32950810,
SAMN06045055,SRR5056582
SAMN10243031,SRR16301610
SAMD00280083,DRR278176
SAMN06030177,SRR5055251
SAMN05514141,
SAMN12648955,
SAMEA4028451,
SAMN10485461,
SAMN10501886,SRR8264778
SAMN11029489,SRR8645347
SAMN06030139,SRR5055281
SAMN11029488,SRR8645346
SAMN10501888,SRR8264780
SAMN10501887,SRR8264777
SAMD00171749,DRR178302
SAMN14504550,SRR11457803
SAMN14504707,SRR11457540
SAMN14504879,
SAMEA2517359,
SAMN04549535,SRR3272258
SAMN04451263,SRR3168967 SRR24638752
SAMN04014968,SRR3112287
SAMN04961653,
SAMN13450458,SRR12046724
SAMN16357235,SRR12826194
SAMN04932651,
SAMN05631013,
SAMN05756207,
SAMN12070264,SRR9307307
SAMN08272061,
SAMN02934521,SRR1608976
SAMN08323710,
SAMN03996249,SRR2814419 SRR2814420
SAMN12715008,
SAMN17316236,
SAMN11056402,SRR9163323
SAMN11056422,SRR9171842 SRR9171843
SAMN04961926,SRR4012626
SAMN07427971,SRR5886281
SAMN03742073,SRR2124389
SAMN08449845,
SAMN07427966,SRR5886290
SAMN07427968,SRR5886298
SAMN07135152,SRR5884063
SAMN11565614,
SAMN02678831,SRR1257282
SAMN04192176,SRR2671205
SAMN20693596,
SAMN02265272,SRR958039
SAMN11056483,SRR9641505
SAMN09519168,
SAMN26664047,SRR18329058
SAMN15471789,SRR12170550
SAMN12070255,SRR9307306
SAMN16419722,
SAMN16419720,
SAMN14309716,
SAMN15666303,SRR12342989
SAMN15666302,SRR12342990
SAMN15891899,
SAMN29630309,
SAMN29630109,
SAMN29630270,
SAMN29630588,
SAMN29630349,
SAMN29630312,
SAMN29631754,
SAMN29630500,
SAMN29630085,
SAMN29629757,
SAMN06044987,SRR5056410
SAMN11056427,SRR9172122
SAMN11565619,
SAMN13390196,SRR10533028
SAMN30802446,SRR21539847
SAMN30802444,SRR21539849
SAMN13354305,SRR10513728
SAMN13354303,SRR10513727
SAMN30802447,SRR21539846
SAMN30802443,SRR21539850
SAMN16357413,SRR13183047
