Isolate,Stx_gene,No._of_contig
DRR381749,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR25523645,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR25523645,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR4301569,stx1a_A_lcl|AF461168.1_cds_AAM70035.1_1,1
SRR4301569,stx1a_B_lcl|AF461168.1_cds_AAM70036.1_2,1
DRR381601,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
DRR381601,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR4301527,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR4301527,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR5413253,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR5413253,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR3205757,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,3
SRR3205757,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,2
SRR3205742,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR3205742,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR14419381,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,3
SRR14419381,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,2
SRR6929637,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR6929637,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR3195841,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR3195841,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
DRR381665,stx2c_A_lcl|M59432.1_cds_AAA19623.1_1,2
DRR381665,stx2c_B_lcl|M59432.1_cds_AAA19624.1_2,2
SRR15376151,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,3
SRR15376151,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,2
SRR25603930,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR25603930,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR4301513,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR4301513,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR6373397,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,3
SRR6373397,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,2
SRR3195851,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR3195851,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR15376146,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,3
SRR15376146,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,2
SRR15376146,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,3
SRR15376146,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,2
SRR3195836,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR3195836,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR15415542,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR15415542,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR4301588,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR4301588,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR25603927,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR25603927,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR3191403,stx1a_A_lcl|AF461168.1_cds_AAM70035.1_1,1
SRR3191403,stx1a_B_lcl|AF461168.1_cds_AAM70036.1_2,1
SRR4301544,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR4301544,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR15376153,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,3
SRR15376153,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,2
SRR15415549,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR15415549,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
DRR381634,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
DRR381634,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR15415554,stx1a_A_lcl|AF461168.1_cds_AAM70035.1_1,1
SRR15415554,stx1a_B_lcl|AF461168.1_cds_AAM70036.1_2,1
SRR15415549,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR15415549,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR6929627,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR6929627,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR15415547,stx1a_A_lcl|AF461168.1_cds_AAM70035.1_1,1
SRR15415547,stx1a_B_lcl|AF461168.1_cds_AAM70036.1_2,1
DRR381744,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
DRR381744,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR7439153,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR7439153,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR15277995,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR15277995,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR1509643,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR1509643,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR5870510,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,4
SRR5870510,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,2
SRR15376147,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,3
SRR15376147,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,2
SRR3224814,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR3224814,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR15415557,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR15415557,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR13160357,stx1a_A_lcl|AF461168.1_cds_AAM70035.1_1,1
SRR13160357,stx1a_B_lcl|AF461168.1_cds_AAM70036.1_2,1
SRR4301513,stx1_A_lcl|AJ279086.1_cds_CAC12887.1_3,1
SRR4301513,stx1_B_lcl|AJ279086.1_cds_CAC12888.1_4,1
SRR6929610,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR6929610,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR6929621,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR6929621,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
DRR381661,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,2
DRR381661,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,2
SRR3180501,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,2
SRR3180501,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,2
SRR6929623,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR6929623,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR25523645,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR25523645,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
DRR381735,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
DRR381735,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR14419375,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR14419375,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR14419383,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,2
SRR14419383,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,2
SRR15415621,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR15415621,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR15376150,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,3
SRR15376150,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,2
SRR3180707,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,2
SRR3180707,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR15415556,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR15415556,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR13167188,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR13167188,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR4301562,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR4301562,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,2
SRR15415554,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR15415554,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR6929612,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR6929612,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR15415557,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR15415557,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR6929630,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
