Isolate,Stx_gene,No._of_contig
SRR15415578,stx2c_A_lcl|M59432.1_cds_AAA19623.1_1,1
SRR15415578,stx2c_B_lcl|M59432.1_cds_AAA19624.1_2,1
SRR25603929,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR25603929,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR3205757,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,3
SRR3205757,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,2
SRR4301497,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,3
SRR4301497,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,2
SRR15376152,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,3
SRR15376152,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR15376154,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,3
SRR15376154,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,2
SRR15415624,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,3
SRR15415624,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,2
SRR4301577,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR4301577,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR15376145,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,3
SRR15376145,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,2
SRR15376141,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,3
SRR15376141,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,2
SRR13160359,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR13160359,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR5870510,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,4
SRR5870510,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,2
SRR4301531,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR4301531,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR3191403,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR3191403,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR15415574,stx2a_A_lcl|AF461171.1_cds_AAM70041.1_1,1
SRR15415574,stx2a_B_lcl|AF461171.1_cds_AAM70042.1_2,1
SRR4301574,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR4301574,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR6929617,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR6929617,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR15415539,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,5
SRR15415539,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,2
SRR8192791,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,3
SRR8192791,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,2
SRR8192791,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,3
SRR8192791,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,2
SRR15415540,stx2c_A_lcl|EF441604.1_cds_ABR09934.1_1,1
SRR15415540,stx2c_B_lcl|EF441604.1_cds_ABR09935.1_2,1
SRR6929634,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR6929634,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR8292155,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR8292155,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
DRR381616,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,5
DRR381616,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,2
SRR4301564,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR4301564,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR15415538,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR15415538,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR15415610,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR15415610,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR4301579,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR4301579,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR1509643,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR1509643,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR10119255,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR10119255,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR4301521,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR4301521,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR13167188,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR13167188,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR15415613,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR15415613,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR6929603,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR6929603,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR15376143,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,3
SRR15376143,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,2
SRR15376151,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,3
SRR15376151,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,2
SRR7439153,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR7439153,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR10119414,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR10119414,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR10520171,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR10520171,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR6929635,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR6929635,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR15277999,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR15277999,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR14419377,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR14419377,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR6929615,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR6929615,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR15277999,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR15277999,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR4301569,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR4301569,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR6929610,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR6929610,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR25523643,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR25523643,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR10119255,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR10119255,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR4301548,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR4301548,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR6929637,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR6929637,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR6929601,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR6929601,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR15376153,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,3
SRR15376153,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,2
SRR25603927,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR25603927,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR2914453,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR2914453,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR6929622,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR6929622,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR15376143,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,3
SRR15376143,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,2
SRR6929624,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR6929624,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR4301513,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR4301513,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR6929609,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR6929609,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR15376145,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,3
SRR15376145,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,2
SRR4301522,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR4301522,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
DRR381743,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
DRR381743,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR4301519,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR4301519,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR6929602,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR6929602,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR15415555,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR15415555,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR6929628,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR6929628,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR15376150,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,3
SRR15376150,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,2
SRR15376141,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,3
SRR15376141,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,2
SRR3224568,stx2c_A_lcl|M59432.1_cds_AAA19623.1_1,2
SRR3224568,stx2c_B_lcl|M59432.1_cds_AAA19624.1_2,2
SRR14419379,stx2c_A_lcl|M59432.1_cds_AAA19623.1_1,2
SRR14419379,stx2c_B_lcl|M59432.1_cds_AAA19624.1_2,2
SRR25551086,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR25551086,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR4301531,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR4301531,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR5864678,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,3
SRR5864678,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,2
SRR4301571,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR4301571,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR6929638,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR6929638,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR3195852,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR3195852,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
DRR381701,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,2
DRR381701,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,2
SRR6929620,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR6929620,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR14419387,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,3
SRR14419387,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,2
SRR15415532,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR15415532,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR6929609,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR6929609,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR6929608,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR6929608,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR14419379,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,2
SRR14419379,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,2
SRR2914455,stx1a_A_lcl|AF461168.1_cds_AAM70035.1_1,1
SRR2914455,stx1a_B_lcl|AF461168.1_cds_AAM70036.1_2,1
SRR6929606,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR6929606,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR15415611,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR15415611,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
