"Tool","degree_bin","frac_bin","count","total_deg","count_norm"
"Pangraph",3,"25%–30%",8,323,0.0247678018575851
"Pangraph",3,"30%–35%",3,323,0.00928792569659443
"Pangraph",3,"60%–65%",1,323,0.00309597523219814
"Pangraph",3,"70%–75%",4,323,0.0123839009287926
"Pangraph",3,"90%–95%",14,323,0.043343653250774
"Pangraph",3,"95%–100%",185,323,0.572755417956656
"Pangraph",4,"0%–5%",60,192,0.3125
"Pangraph",4,"5%–10%",18,192,0.09375
"Pangraph",4,"10%–15%",11,192,0.0572916666666667
"Pangraph",4,"15%–20%",2,192,0.0104166666666667
"Pangraph",4,"25%–30%",9,192,0.046875
"Pangraph",4,"30%–35%",2,192,0.0104166666666667
"Pangraph",4,"55%–60%",1,192,0.00520833333333333
"Pangraph",4,"65%–70%",1,192,0.00520833333333333
"Pangraph",4,"70%–75%",2,192,0.0104166666666667
"Pangraph",4,"80%–85%",1,192,0.00520833333333333
"Pangraph",4,"85%–90%",2,192,0.0104166666666667
"Pangraph",4,"90%–95%",6,192,0.03125
"Pangraph",4,"95%–100%",77,192,0.401041666666667
"Pangraph",5,"0%–5%",30,77,0.38961038961039
"Pangraph",5,"5%–10%",9,77,0.116883116883117
"Pangraph",5,"10%–15%",3,77,0.038961038961039
"Pangraph",5,"15%–20%",2,77,0.025974025974026
"Pangraph",5,"20%–25%",2,77,0.025974025974026
"Pangraph",5,"25%–30%",1,77,0.012987012987013
"Pangraph",5,"30%–35%",3,77,0.038961038961039
"Pangraph",5,"35%–40%",1,77,0.012987012987013
"Pangraph",5,"60%–65%",1,77,0.012987012987013
"Pangraph",5,"65%–70%",1,77,0.012987012987013
"Pangraph",5,"70%–75%",3,77,0.038961038961039
"Pangraph",5,"90%–95%",3,77,0.038961038961039
"Pangraph",5,"95%–100%",18,77,0.233766233766234
"Pangraph",6,"0%–5%",12,37,0.324324324324324
"Pangraph",6,"5%–10%",5,37,0.135135135135135
"Pangraph",6,"10%–15%",4,37,0.108108108108108
"Pangraph",6,"15%–20%",1,37,0.027027027027027
"Pangraph",6,"20%–25%",2,37,0.0540540540540541
"Pangraph",6,"25%–30%",1,37,0.027027027027027
"Pangraph",6,"55%–60%",1,37,0.027027027027027
"Pangraph",6,"60%–65%",1,37,0.027027027027027
"Pangraph",6,"90%–95%",1,37,0.027027027027027
"Pangraph",6,"95%–100%",9,37,0.243243243243243
"Pangraph",7,"0%–5%",8,23,0.347826086956522
"Pangraph",7,"5%–10%",5,23,0.217391304347826
"Pangraph",7,"10%–15%",1,23,0.0434782608695652
"Pangraph",7,"15%–20%",1,23,0.0434782608695652
"Pangraph",7,"25%–30%",1,23,0.0434782608695652
"Pangraph",7,"30%–35%",2,23,0.0869565217391304
"Pangraph",7,"95%–100%",5,23,0.217391304347826
"Pangraph",8,"0%–5%",6,17,0.352941176470588
"Pangraph",8,"5%–10%",4,17,0.235294117647059
"Pangraph",8,"10%–15%",1,17,0.0588235294117647
"Pangraph",8,"35%–40%",1,17,0.0588235294117647
"Pangraph",8,"60%–65%",1,17,0.0588235294117647
"Pangraph",8,"95%–100%",4,17,0.235294117647059
"Pangraph",9,"5%–10%",3,8,0.375
"Pangraph",9,"15%–20%",1,8,0.125
"Pangraph",9,"85%–90%",1,8,0.125
"Pangraph",9,"90%–95%",1,8,0.125
"Pangraph",9,"95%–100%",2,8,0.25
"Pangraph",10,"5%–10%",1,5,0.2
"Pangraph",10,"20%–25%",1,5,0.2
"Pangraph",10,"95%–100%",3,5,0.6
"ggCaller",0,"0%–5%",343,507,0.676528599605523
"ggCaller",0,"5%–10%",7,507,0.0138067061143984
"ggCaller",0,"10%–15%",9,507,0.0177514792899408
"ggCaller",0,"15%–20%",5,507,0.00986193293885602
"ggCaller",0,"20%–25%",4,507,0.00788954635108481
"ggCaller",0,"25%–30%",3,507,0.00591715976331361
"ggCaller",0,"30%–35%",8,507,0.0157790927021696
"ggCaller",0,"35%–40%",2,507,0.00394477317554241
"ggCaller",0,"45%–50%",2,507,0.00394477317554241
"ggCaller",0,"50%–55%",1,507,0.0019723865877712
"ggCaller",0,"55%–60%",2,507,0.00394477317554241
"ggCaller",0,"60%–65%",2,507,0.00394477317554241
"ggCaller",0,"70%–75%",1,507,0.0019723865877712
"ggCaller",0,"75%–80%",2,507,0.00394477317554241
"ggCaller",0,"85%–90%",2,507,0.00394477317554241
"ggCaller",0,"90%–95%",10,507,0.019723865877712
"ggCaller",0,"95%–100%",104,507,0.205128205128205
"ggCaller",1,"0%–5%",182,396,0.45959595959596
"ggCaller",1,"5%–10%",11,396,0.0277777777777778
"ggCaller",1,"10%–15%",6,396,0.0151515151515152
"ggCaller",1,"15%–20%",2,396,0.00505050505050505
"ggCaller",1,"25%–30%",6,396,0.0151515151515152
"ggCaller",1,"30%–35%",1,396,0.00252525252525253
"ggCaller",1,"35%–40%",1,396,0.00252525252525253
"ggCaller",1,"40%–45%",1,396,0.00252525252525253
"ggCaller",1,"50%–55%",2,396,0.00505050505050505
"ggCaller",1,"65%–70%",1,396,0.00252525252525253
"ggCaller",1,"85%–90%",3,396,0.00757575757575758
"ggCaller",1,"90%–95%",5,396,0.0126262626262626
"ggCaller",1,"95%–100%",175,396,0.441919191919192
"ggCaller",2,"0%–5%",717,4530,0.158278145695364
"ggCaller",2,"5%–10%",151,4530,0.0333333333333333
"ggCaller",2,"10%–15%",62,4530,0.0136865342163355
"ggCaller",2,"15%–20%",16,4530,0.00353200883002208
"ggCaller",2,"20%–25%",21,4530,0.00463576158940397
"ggCaller",2,"25%–30%",81,4530,0.0178807947019868
"ggCaller",2,"30%–35%",56,4530,0.0123620309050773
"ggCaller",2,"35%–40%",5,4530,0.0011037527593819
"ggCaller",2,"40%–45%",2,4530,0.000441501103752759
"ggCaller",2,"45%–50%",4,4530,0.000883002207505519
"ggCaller",2,"50%–55%",1,4530,0.00022075055187638
"ggCaller",2,"55%–60%",12,4530,0.00264900662251656
"ggCaller",2,"60%–65%",17,4530,0.00375275938189845
"ggCaller",2,"65%–70%",13,4530,0.00286975717439294
"ggCaller",2,"70%–75%",22,4530,0.00485651214128035
"ggCaller",2,"75%–80%",5,4530,0.0011037527593819
"ggCaller",2,"80%–85%",3,4530,0.000662251655629139
"ggCaller",2,"85%–90%",21,4530,0.00463576158940397
"ggCaller",2,"90%–95%",59,4530,0.0130242825607064
"ggCaller",2,"95%–100%",3262,4530,0.720088300220751
"ggCaller",3,"0%–5%",104,1361,0.0764144011756062
"ggCaller",3,"5%–10%",40,1361,0.0293901542983101
"ggCaller",3,"10%–15%",35,1361,0.0257163850110213
"ggCaller",3,"15%–20%",12,1361,0.00881704628949302
"ggCaller",3,"20%–25%",14,1361,0.0102865540044085
"ggCaller",3,"25%–30%",33,1361,0.0242468772961058
"ggCaller",3,"30%–35%",39,1361,0.0286554004408523
"ggCaller",3,"35%–40%",9,1361,0.00661278471711976
"ggCaller",3,"40%–45%",2,1361,0.0014695077149155
"ggCaller",3,"45%–50%",8,1361,0.00587803085966201
"ggCaller",3,"50%–55%",5,1361,0.00367376928728876
"ggCaller",3,"55%–60%",14,1361,0.0102865540044085
"ggCaller",3,"60%–65%",12,1361,0.00881704628949302
"ggCaller",3,"65%–70%",11,1361,0.00808229243203527
"ggCaller",3,"70%–75%",21,1361,0.0154298310066128
"ggCaller",3,"80%–85%",4,1361,0.00293901542983101
"ggCaller",3,"85%–90%",14,1361,0.0102865540044085
"ggCaller",3,"90%–95%",26,1361,0.0191036002939015
"ggCaller",3,"95%–100%",958,1361,0.703894195444526
"ggCaller",4,"0%–5%",20,417,0.0479616306954436
"ggCaller",4,"5%–10%",20,417,0.0479616306954436
"ggCaller",4,"10%–15%",18,417,0.0431654676258993
"ggCaller",4,"15%–20%",5,417,0.0119904076738609
"ggCaller",4,"20%–25%",4,417,0.00959232613908873
"ggCaller",4,"25%–30%",4,417,0.00959232613908873
"ggCaller",4,"30%–35%",19,417,0.0455635491606715
"ggCaller",4,"35%–40%",9,417,0.0215827338129496
"ggCaller",4,"40%–45%",4,417,0.00959232613908873
"ggCaller",4,"45%–50%",4,417,0.00959232613908873
"ggCaller",4,"50%–55%",2,417,0.00479616306954436
"ggCaller",4,"55%–60%",5,417,0.0119904076738609
"ggCaller",4,"60%–65%",5,417,0.0119904076738609
"ggCaller",4,"65%–70%",5,417,0.0119904076738609
"ggCaller",4,"70%–75%",6,417,0.0143884892086331
"ggCaller",4,"75%–80%",5,417,0.0119904076738609
"ggCaller",4,"80%–85%",3,417,0.00719424460431655
"ggCaller",4,"85%–90%",13,417,0.0311750599520384
"ggCaller",4,"90%–95%",26,417,0.0623501199040767
"ggCaller",4,"95%–100%",240,417,0.575539568345324
"ggCaller",5,"0%–5%",3,140,0.0214285714285714
"ggCaller",5,"5%–10%",3,140,0.0214285714285714
"ggCaller",5,"10%–15%",5,140,0.0357142857142857
"ggCaller",5,"15%–20%",1,140,0.00714285714285714
"ggCaller",5,"20%–25%",4,140,0.0285714285714286
"ggCaller",5,"25%–30%",6,140,0.0428571428571429
"ggCaller",5,"30%–35%",8,140,0.0571428571428571
"ggCaller",5,"35%–40%",3,140,0.0214285714285714
"ggCaller",5,"40%–45%",1,140,0.00714285714285714
"ggCaller",5,"55%–60%",5,140,0.0357142857142857
"ggCaller",5,"60%–65%",5,140,0.0357142857142857
"ggCaller",5,"65%–70%",2,140,0.0142857142857143
"ggCaller",5,"70%–75%",4,140,0.0285714285714286
"ggCaller",5,"75%–80%",2,140,0.0142857142857143
"ggCaller",5,"80%–85%",5,140,0.0357142857142857
"ggCaller",5,"85%–90%",6,140,0.0428571428571429
"ggCaller",5,"90%–95%",14,140,0.1
"ggCaller",5,"95%–100%",63,140,0.45
"ggCaller",6,"0%–5%",1,81,0.0123456790123457
"ggCaller",6,"5%–10%",4,81,0.0493827160493827
"ggCaller",6,"10%–15%",4,81,0.0493827160493827
"ggCaller",6,"20%–25%",1,81,0.0123456790123457
"ggCaller",6,"25%–30%",5,81,0.0617283950617284
"ggCaller",6,"30%–35%",3,81,0.037037037037037
"ggCaller",6,"35%–40%",4,81,0.0493827160493827
"ggCaller",6,"40%–45%",3,81,0.037037037037037
"ggCaller",6,"45%–50%",3,81,0.037037037037037
"ggCaller",6,"55%–60%",5,81,0.0617283950617284
"ggCaller",6,"60%–65%",3,81,0.037037037037037
"ggCaller",6,"65%–70%",2,81,0.0246913580246914
"ggCaller",6,"70%–75%",2,81,0.0246913580246914
"ggCaller",6,"80%–85%",2,81,0.0246913580246914
"ggCaller",6,"85%–90%",7,81,0.0864197530864197
"ggCaller",6,"90%–95%",7,81,0.0864197530864197
"ggCaller",6,"95%–100%",25,81,0.308641975308642
"ggCaller",7,"10%–15%",1,50,0.02
"ggCaller",7,"15%–20%",1,50,0.02
"ggCaller",7,"20%–25%",1,50,0.02
"ggCaller",7,"30%–35%",3,50,0.06
"ggCaller",7,"35%–40%",2,50,0.04
"ggCaller",7,"45%–50%",2,50,0.04
"ggCaller",7,"50%–55%",1,50,0.02
"ggCaller",7,"55%–60%",4,50,0.08
"ggCaller",7,"60%–65%",2,50,0.04
"ggCaller",7,"65%–70%",3,50,0.06
"ggCaller",7,"70%–75%",1,50,0.02
"ggCaller",7,"80%–85%",1,50,0.02
"ggCaller",7,"85%–90%",3,50,0.06
"ggCaller",7,"90%–95%",9,50,0.18
"ggCaller",7,"95%–100%",16,50,0.32
"ggCaller",8,"5%–10%",1,32,0.03125
"ggCaller",8,"10%–15%",1,32,0.03125
"ggCaller",8,"25%–30%",1,32,0.03125
"ggCaller",8,"30%–35%",1,32,0.03125
"ggCaller",8,"35%–40%",5,32,0.15625
"ggCaller",8,"40%–45%",1,32,0.03125
"ggCaller",8,"45%–50%",1,32,0.03125
"ggCaller",8,"55%–60%",1,32,0.03125
"ggCaller",8,"60%–65%",1,32,0.03125
"ggCaller",8,"70%–75%",3,32,0.09375
"ggCaller",8,"75%–80%",2,32,0.0625
"ggCaller",8,"80%–85%",1,32,0.03125
"ggCaller",8,"90%–95%",1,32,0.03125
"ggCaller",8,"95%–100%",12,32,0.375
"ggCaller",9,"10%–15%",1,27,0.037037037037037
"ggCaller",9,"20%–25%",2,27,0.0740740740740741
"ggCaller",9,"35%–40%",1,27,0.037037037037037
"ggCaller",9,"40%–45%",1,27,0.037037037037037
"ggCaller",9,"45%–50%",2,27,0.0740740740740741
"ggCaller",9,"50%–55%",1,27,0.037037037037037
"ggCaller",9,"55%–60%",1,27,0.037037037037037
"ggCaller",9,"60%–65%",1,27,0.037037037037037
"ggCaller",9,"65%–70%",2,27,0.0740740740740741
"ggCaller",9,"70%–75%",1,27,0.037037037037037
"ggCaller",9,"75%–80%",2,27,0.0740740740740741
"ggCaller",9,"80%–85%",4,27,0.148148148148148
"ggCaller",9,"90%–95%",3,27,0.111111111111111
"ggCaller",9,"95%–100%",5,27,0.185185185185185
"ggCaller",10,"10%–15%",1,32,0.03125
"ggCaller",10,"20%–25%",1,32,0.03125
"ggCaller",10,"25%–30%",1,32,0.03125
"ggCaller",10,"40%–45%",1,32,0.03125
"ggCaller",10,"60%–65%",3,32,0.09375
"ggCaller",10,"70%–75%",1,32,0.03125
"ggCaller",10,"85%–90%",8,32,0.25
"ggCaller",10,"90%–95%",6,32,0.1875
"ggCaller",10,"95%–100%",10,32,0.3125
